pmid,title,abstract,year,query
41847683,EEFSA-SECM: an enhanced ensemble feature selection and stacking ensemble classifier to detect Parkinson's disease.,"Parkinson's disease (PD) is a progressive neurological disorder whose early symptoms often remain undetected, making timely diagnosis challenging. Machine learning offers strong algorithms to detect subtle speech-based biomarkers that are impossible to detect by standard methods. In this article, we proposed an Enhanced Ensemble Feature Selection Algorithm (EEFSA) which combines filter, wrapper, and embedded approaches to extract the best informative features, eliminate redundancy, and improve classification performance. The proposed work has tested on two benchmark audio based datasets, such as Dataset-1 (46 features, 80 samples), where EEFSA reduced the features to 20 features, and Dataset-2 (754 features, 252 samples), where EEFSA reduced the features to 40 features. Nine machine learning classifiers were tried out and the best of them were combined into a stacking ensemble with logistic regression as the meta-classifier. Experiments show that EEFSA-driven dimensionality reduction not only enhanced accuracy of classification but also reduced training time considerably and minimized over fitting. The Stacking Ensemble Classifier Model (SECM) deployed on the basis of the proposed method achieved accuracy of 86.67% and 89.95% on Dataset-1 and Dataset-2, respectively, and outperformed individual classifiers in all experiments. Overall, this work provides EEFSA-driven stacking as a new and efficient method of feature selection and ensemble learning combination for Parkinson's disease classification. The proposed EEFSA-SECM framework achieves effective classification accuracy, competitive training/testing times, and improved AUC scores on two benchmark datasets, establishing it as an effective and efficient approach for Parkinson's disease diagnosis.",2026,Parkinson's disease machine learning biomarkers
41843502,Heel-Tapping-Based Parkinson's Disease Progression Monitoring Using Smart Insoles.,"Parkinson's Disease (PD) is a progressive neurodegenerative disorder marked by motor and non-motor symptoms, which complicate both diagnosis and disease monitoring. Traditional subjective assessments, such as the Unified Parkinson's Disease Rating Scale (MDS-UPDRS) and Hoehn and Yahr scale, often fall short of capturing subtle motor variations across PD stages as well as require expertise and thus the accessibility is limited in daily life. In this study, we evaluated the feasibility of using in-phase (IP) and anti-phase (AP) heel- and toe-tapping as biomarkers to monitor PD progression objectively. Motion data were collected from 40 participants (28 patients with PD, 12 age-matched healthy controls) using a pair of smart insoles with embedded accelerometers. Our results show that the heel IP yielded the largest number of stage-discriminative features, with 96 out of 112 extracted features showing significant differences across PD stages and achieved up to 92% classification accuracy using supervised machine learning classifiers, particularly Random Forest and Neural Network. Clustering analyses (KMeans and Gaussian Mixture Model) further supported stage-specific grouping patterns, with chi-square significance p <0.0001. These findings suggest that heel IP can serve as a sensitive and practical assessment for PD stage classification. Paired with smart insoles and a tapping game, this can be used as an assistive tool to monitor PD disease progression for at home monitoring in daily life.",2026,Parkinson's disease machine learning biomarkers
41836633,AI-powered speech analysis for early prediction of Parkinson's disease:: [Quantitative hypokinetic dysarthria as a biomarker for early Parkinson's detection: A machine learning approach].,"Parkinson's disease (PD) is a progressive neurodegenerative disorder in which early diagnosis remains difficult due to subtle and heterogeneous symptoms. Speech impairments, particularly hypokinetic dysarthria, often appear early and offer promise as non-invasive biomarkers for detection. This study investigates whether quantitative speech-derived acoustic features can serve as reliable, non-invasive biomarkers for early detection of PD by analysing dysphonia measures extracted from sustained phonation recordings. A two-pronged analytical framework was used. First, exploratory data analysis was performed on 16 dysphonia features from 5875 sustained phonation samples collected from 42 individuals with idiopathic PD to examine feature distributions, correlations, and redundancies. Second, principal component analysis was applied to address multicollinearity among vocal features, and the resulting components were used as predictors in multiple regression-based machine learning models. Ensemble, kernel-based, and linear models were compared using standard metrics. Ensemble models delivered the strongest predictive performance. Random forest explained 91% of variance (<i>R</i> <sup>2</sup> = 0.910 for motor Unified Parkinson's Disease Rating Scale (UPDRS); 0.901 for total UPDRS), with root mean squared error (RMSE) = 2.39 and 8.33 and mean absolute error (MAE) = 1.85 and 6.95, respectively. Gradient boosting explained 90% of variance (<i>R</i> <sup>2</sup> = 0.900 for motor and total UPDRS), with RMSE = 2.52 and 8.42, and MAE = 1.86 and 7.14. Linear models performed substantially worse, consistently yielding <i>R</i> <sup>2</sup> < 0.12, indicating limited ability to capture nonlinear patterns in dysphonia characteristics. Speech-derived acoustic biomarkers, when paired with machine learning, especially ensemble methods, show strong potential for accurate, scalable, and cost-effective assessment of PD severity. These findings highlight the potential of speech-derived acoustic biomarkers, coupled with machine learning, as scalable, cost-effective, and objective tools for improving diagnostic precision and enabling earlier intervention in PD.",2026,Parkinson's disease machine learning biomarkers
41811559,"RELA as a Diagnostic Biomarker for Parkinson's Disease by Integrating Ferroptosis, Lipid Metabolism, and Neuroinflammation.","Parkinson’s disease (PD) is a progressive neurodegenerative disorder, in which ferroptosis and dysregulation of lipid metabolism are believed to play critical roles. However, the key genes and molecular mechanisms underlying these processes remain to be fully elucidated. We combined bioinformatics analyses with experimental validation to identify and characterize central genes involved in ferroptosis and lipid metabolism in PD. Integrated bioinformatics analysis identified 44 candidate genes associated with ferroptosis and lipid metabolism in PD. Machine learning refined these to three core genes: <i>CBS</i>, <i>PRKAR2B</i>, and <i>RELA</i>. Expression analysis revealed significant upregulation of <i>CBS</i> and <i>RELA</i> and downregulation of <i>PRKAR2B</i> in PD samples. Receiver Operating Characteristic (ROC) analysis indicated strong diagnostic potential for all three genes. Functional enrichment suggested their involvement in neuroinflammation, energy metabolism, and neuroprotective pathways. Immune infiltration analysis revealed significant correlations between these genes and specific immune cell types. In cellular models, knockdown of <i>RELA</i> attenuated MPP<sup>+</sup>-induced oxidative stress, ferroptosis, and inflammatory activation, while also restoring dopaminergic neuronal function. ELISA results from PD patient cerebrospinal fluid (CSF) samples further confirmed the dysregulation of these genes, supporting their clinical relevance. This study identifies <i>CBS</i>, <i>PRKAR2B</i>, and <i>RELA</i> as key genes linking ferroptosis and lipid metabolism in Parkinson’s disease. These genes demonstrate strong diagnostic value and are closely associated with neuroinflammation and immune responses. Experimental validation underscores the protective effect of <i>RELA</i> knockdown against ferroptosis and inflammatory damage. Our findings suggest that RELA(p65) may serve as a promising diagnostic biomarker and therapeutic target for PD.",2026,Parkinson's disease machine learning biomarkers
41807392,Behavioral screening defines the molecular Parkinsonism-related subgroups in Drosophila.,"Parkinson's disease (PD) and related familial Parkinsonism are defined by motor dysfunction, but the specific upstream molecular causes of these clinical symptoms can vary widely. We hypothesize that these causes converge onto a limited number of core cellular pathways. To investigate this, we created a collection of 24 genetically well-controlled Drosophila models of familial forms of PD and related mono-genic forms of Parkinsonism. Using unbiased behavioral screening and machine learning we identify clusters of mutants that converge on (1) mitochondrial function; (2) retromer/vesicle trafficking and proteostasis/autophagy. Genes within each cluster have a similar genetic interaction profile and compounds that target specific molecular pathways ameliorate dopaminergic neuron dysfunction in a cluster-specific manner. Together, our data indicate that familial PD and related forms of Parkinsonism may fall into two broad functional groups, and may inform further work toward targeted biomarker discovery and therapeutic development.",2026,Parkinson's disease machine learning biomarkers
41797514,The Brain-Age Gap in Pediatric Dystonia: Neuroanatomical Deviations Inform Deep Brain Stimulation Outcomes.,"Dystonia in children is a heterogeneous condition with variable response to deep brain stimulation (DBS). Brain-age gap, a machine learning-derived metric of structural deviation from norm, may capture signatures that differentiate underlying biotypes and predict outcomes. A brain age model was trained on several thousand normative developmental trajectories (n = 2623). Brain-age gap (the difference between predicted and chronological age) was computed from pre-DBS T1-weighted magnetic resonance imaging in 37 children with dystonia and compared to matched healthy controls. Associations with etiology, Burke-Fahn-Marsden Dystonia Rating Scale (BFMDRS) and Pediatric Quality-of-Life (PedsQL) scores were examined. Children with dystonia showed a greater brain-age gap (structural deviation) compared to controls (P < 0.001). Greater gap was linked to worse baseline motor scores and poorer 1-year quality-of-life improvement. Patterns differed by etiology, with distinct regional deviations in genetic and acquired dystonia. Brain-age modeling reveals biologically distinct subtypes of pediatric dystonia and may offer a biomarker for stratification and outcome prediction. © 2026 The Author(s). Movement Disorders published by Wiley Periodicals LLC on behalf of International Parkinson and Movement Disorder Society.",2026,Parkinson's disease machine learning biomarkers
41794807,Interpretable and granular video-based quantification of motor characteristics from the finger-tapping test in Parkinson's disease.,"Accurately quantifying motor characteristics in Parkinson's disease is crucial for monitoring disease progression and optimizing treatment strategies. The finger-tapping test is a standard motor assessment. Clinicians visually evaluate a patient's tapping performance and assign an overall severity score based on tapping amplitude, speed, and irregularity. Simultaneous video recording during the standard test enables a more objective, continuous quantification of detailed motor characteristics, thereby reducing the subjectivity and inter-rater variability inherent in clinical evaluations. This paper introduces a computer vision-based method for quantifying granular PD motor characteristics from video recordings. Four sets of clinically relevant features are proposed to characterize hypokinesia, bradykinesia, sequence effect, and hesitation-halts. We evaluate our approach on video recordings and clinical evaluations of 446 people with PD from the Personalized Parkinson Project. Using principal component analysis with varimax rotation, we show that the extracted features largely align with the four clinically defined motor deficits, while additionally revealing finer-grained substructures within the sequence effect and hesitation-halts domains. In addition, we have used these features to train machine learning classifiers to estimate the Movement Disorder Society Unified Parkinson's Disease Rating Scale (MDS-UPDRS) finger-tapping severity score. Compared to state-of-the-art approaches, our method achieves a higher accuracy in MDS-UPDRS score prediction, while still providing an interpretable quantification of individual finger-tapping motor characteristics. In addition, we present the first large-scale dataset of finger-tapping, comprising 4073 video recordings. In summary, the proposed framework provides a practical solution for the objective assessment of PD motor characteristics, that can potentially be applied in both clinical and remote settings. Future work is needed to assess its responsiveness to symptomatic treatment and disease progression.",2026,Parkinson's disease machine learning biomarkers
41790245,Balance biomarker for early differentiation of Parkinson's disease and multiple system atrophy with parkinsonian type.,"Parkinson's disease (PD) and multiple system atrophy with parkinsonian type (MSA-P) share various motor and nonmotor symptoms, complicating early differential diagnosis, although prognosis and levodopa response differ. To develop a machine learning model using balance analysis to differentiate early-stage PD and MSA-P. We enrolled 22 healthy controls (HC), 20 PD, and 17 MSA-P patients within three years of onset. Participants stood for 60 s on dual force-plates under eyes open (EO) and eyes closed (EC). Seven center of pressure (COP) parameters per condition and EC-EO differences were analyzed. Group differences were assessed with ANOVA. Feature selection was performed using LightGBM (LGBM), followed by model training with fourfold cross-validation. Mean ages were 63.8 (HC), 64.2 (PD), and 68.8 years (MSA-P). Disease durations were 2.4 years in PD and 1.8 years in MSA-P. Except for mean distance in the anteroposterior direction with EO and 95% confidence ellipse area with EC, all parameters showed significant group differences. Post-hoc analysis revealed significant differences between HC and PD/MSA-P in EO, whereas in EC, differences were more pronounced between MSA-P and PD/HC. The LGBM model achieved 81.4% accuracy in distinguishing PD from MSA-P, 94.9% in distinguishing healthy controls from patient groups, and 84.9% for three-group classification. Balance biomarker, which analyzes the balance parameters with machine learning model could differentiate early-stage PD and MSA-P with high accuracy.",2026,Parkinson's disease machine learning biomarkers
41780488,Deep learning-based MRI segmentation for substantia nigra in Parkinson's disease with cognitive impairment.,"Parkinson's disease (PD) is frequently accompanied by non-motor symptoms and cognitive impairment (PD-CI), highlighting the need for scalable imaging biomarkers for clinical stratification. Neuromelanin-sensitive MRI (NM-MRI) provides a pathology-adjacent measure of substantia nigra pars compacta (SNpc) degeneration, but automated SNpc quantification remains limited. We evaluated automated SNpc segmentation on NM-MRI using SA-U<sup>2</sup>Net and validated it against blinded manual delineation. The cohort included 53 PD-CI, 53 PD without cognitive impairment (PD-NCI), and 50 healthy controls (HC). SNpc area was quantified manually and automatically and compared across groups. Associations between bilateral SNpc area and clinical scales were screened using univariable analyses and tested using multivariable linear regression adjusting for age, sex, education, disease duration, and UPDRS-III, with false discovery rate (FDR) correction within subgroups. SA-U<sup>2</sup>Net achieved accurate SNpc segmentation with good agreement to manual delineation. Both manual and automated measures showed significantly reduced SNpc area in PD-CI and PD-NCI compared with HC, with similar reductions between PD subtypes. In PD-CI, bilateral SNpc area remained independently and negatively associated with fatigue severity (FSS) after covariate adjustment and FDR correction. Other associations were attenuated after adjustment. In PD-NCI, no outcomes remained independently associated after covariate adjustment. SA-U<sup>2</sup>Net enables reproducible automated SNpc quantification on NM-MRI and robust differentiation of PD from HC. Bilateral SNpc area shows a specific independent association with fatigue severity in PD-CI, while other associations require validation in multi-center longitudinal studies.",2026,Parkinson's disease machine learning biomarkers
41757373,Towards a Biologically Defined Diagnosis: Incorporating Pathophysiological Measures Into Parkinson's Disease Clinical Criteria.,"Parkinson's disease is the second most common neurodegenerative disorder worldwide, as well as being the fastest-growing neurological disorder. Furthermore, PD corresponds to a significant burden on those diagnosed, their caregivers and healthcare systems, highlighting the critical need for early and accurate diagnosis. Effective diagnosis is essential not only for timely intervention but also for the development of disease-modifying treatments, which are currently unavailable for PD management. Historically, PD diagnosis and characterisation was heavily reliant on clinical presentation, which are only present after significant neurodegeneration has already occurred. Because of this, there is a consensus amongst the scientific community to transition away from clinical features and instead redefine PD diagnosis and staging based on biological presentation. This review discusses historical developments in clinical diagnostic criteria for PD as well as the role the recently developed frameworks such as SynNeurGe and the Neuronal alpha-Synuclein Disease-Integrated Staging System (NSD-ISS) will play in the further advancements of diagnostic practices. Furthermore, substantial research efforts into the pathobiology of PD have led to the development of novel in vivo assessments capable of detecting critical biomarkers of PD. Specialised imaging modalities, particularly nuclear imaging and magnetic resonance imaging, and biomarkers of α-synuclein pathology demonstrate high sensitivity and specificity for not only early diagnosis but also differential diagnosis between other parkinsonisms. Beyond diagnostic reforms, it is also important to identify markers that could serve as indicators of clinical course to aid in tailoring personalised treatment strategies. Therefore, this review also summarises key pathobiological hallmarks of PD beyond α-synuclein pathology, namely, dopaminergic denervation, copathologies and underlying indicators of neurodegeneration, such as iron deposition and neuroinflammation. Furthermore, strategies to assess such pathologies and their potential utility in the current paradigm shift towards biological characterisation are discussed.",2026,Parkinson's disease machine learning biomarkers
41749691,Similarity Gait Networks with XAI for Parkinson's Disease Classification: A Pilot Study.,"Parkinson's disease (PD) is characterized by alterations in movement dynamics that are difficult to quantify with conventional clinical assessment. This study proposes an integrated approach combining graph-based kinematic analysis with explainable machine learning to identify digital biomarkers of Parkinsonian motor impairment. Kinematic signals were acquired using Xsens inertial sensors from 51 patients with PD and 53 healthy controls. For each participant, subject-specific kinematic networks were constructed by modeling inter-segment similarities through Jensen-Shannon divergence, from which global and local graph-theoretical metrics were extracted. A machine learning pipeline incorporating voting feature selection, and XGBoost classification was evaluated using a nested cross-validation design. The model achieved robust performance (AUC = 0.87), and explainability analyses using SHAP identified a subset of 13 features capturing alterations in velocity, inter-segment connectivity, and network centrality. PD was characterized by increased positional variability, reduced distal limb velocity, and a redistribution of network centrality towards proximal body segments. These features were associated with clinical severity, confirming their physiological relevance. By integrating graph-theoretical modeling, explainable artificial intelligence, and machine learning methodology, this work provides a method of discovering quantitative biomarkers capturing alterations in motor coordination. These findings highlight the potential of ML and kinematic networks to support objective motor assessment in PD.",2026,Parkinson's disease machine learning biomarkers
41741476,Machine learning integration of serial blood biomarkers enhances cognitive decline prediction in early Parkinson's disease.,"Cognitive decline is a major non-motor complication in early Parkinson's disease (PD), but predicting its progression remains challenging. Using data from 193 participants in the Early Parkinson's Disease Longitudinal Singapore (PALS) cohort, we evaluated whether repeated blood biomarker measurements (baseline, year 3, year 5)-neurofilament light chain (NfL) and total tau (t-tau)-could improve prediction of cognitive decline, defined as a one-point annual or sustained two-year drop in Montreal Cognitive Assessment scores. We applied three variable selection methods and five machine learning models across seven feature sets. Overall, 23% of participants experienced cognitive decline over five years. The XGBoost model trained on Random Forest-selected variables achieved the highest performance (AUC = 0.806), a substantial improvement over the baseline-only model (AUC = 0.560). Key predictors included diastolic blood pressure and summaries of t-tau and NfL. Time-varying biomarkers improved predictions over baseline data alone, supporting their integration with machine learning for early cognitive risk assessment in PD.",2026,Parkinson's disease machine learning biomarkers
